town,state,lga,postcode,district
Umukabia,Imo,Ngor/Okpala   ,460125,Obike  
Umumahi,Imo,Ngor/Okpala   ,460125,Obike  
Umuoda,Imo,Ngor/Okpala   ,460125,Obike  
Umuogbe,Imo,Ngor/Okpala   ,460125,Obike  
Umuohite,Imo,Ngor/Okpala   ,460125,Obike  
Okpala,Imo,Ngor/Okpala   ,460120,Ntu  
Umuaku,Imo,Ngor/Okpala   ,460120,Ntu  
Umuhita,Imo,Ngor/Okpala   ,460120,Ntu  
Umuocham,Imo,Ngor/Okpala   ,460120,Ntu  
Umuogba,Imo,Ngor/Okpala   ,460120,Ntu  
Umuogbor,Imo,Ngor/Okpala   ,460120,Ntu  
Umuokpor,Imo,Ngor/Okpala   ,460120,Ntu  
Umuolokochie,Imo,Ngor/Okpala   ,460120,Ntu  
Umuoru,Imo,Ngor/Okpala   ,460120,Ntu  
Uvuru,Imo,Ngor/Okpala   ,460120,Ntu  
Amaedo,Imo,Ngor/Okpala   ,460119,Ohekelem/Nnorie  
Amandara,Imo,Ngor/Okpala   ,460119,Ohekelem/Nnorie  
Amankwu,Imo,Ngor/Okpala   ,460119,Ohekelem/Nnorie  
Egbelu,Imo,Ngor/Okpala   ,460119,Ohekelem/Nnorie  
Mbutu,Imo,Ngor/Okpala   ,460119,Ohekelem/Nnorie  
Mgbuala,Imo,Ngor/Okpala   ,460119,Ohekelem/Nnorie  
Nnabiada,Imo,Ngor/Okpala   ,460119,Ohekelem/Nnorie  
Nnorie,Imo,Ngor/Okpala   ,460119,Ohekelem/Nnorie  
Oda,Imo,Ngor/Okpala   ,460119,Ohekelem/Nnorie  
Ota/Ikaa,Imo,Ngor/Okpala   ,460119,Ohekelem/Nnorie  
Umuahia,Imo,Ngor/Okpala   ,460119,Ohekelem/Nnorie  
Umuakaeshe,Imo,Ngor/Okpala   ,460119,Ohekelem/Nnorie  
Umuarum,Imo,Ngor/Okpala   ,460119,Ohekelem/Nnorie  
Umudim,Imo,Ngor/Okpala   ,460119,Ohekelem/Nnorie  
Umuechem,Imo,Ngor/Okpala   ,460119,Ohekelem/Nnorie  
Umueze,Imo,Ngor/Okpala   ,460119,Ohekelem/Nnorie  
Umuhu,Imo,Ngor/Okpala   ,460119,Ohekelem/Nnorie  
Umunobo,Imo,Ngor/Okpala   ,460119,Ohekelem/Nnorie  
Umuohii,Imo,Ngor/Okpala   ,460119,Ohekelem/Nnorie  
Umuonyike,Imo,Ngor/Okpala   ,460119,Ohekelem/Nnorie  
& Umuevo,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Ameke,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Amuke,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Obokwu,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Ozara Umukabia,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Umuafor,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Umuagbom,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Umuakali,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Umualum,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Umuanyika,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Umueke,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Umuekperechi,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Umujioche,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Umukabia,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Umuochere,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Umuodu,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Umuogwugwu,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Umuohie Ngor,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Umuohu,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Umuokoche,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Uram Nogr,Imo,Ngor/Okpala   ,460118,Ngor/Ihite/Umu  
Amaigbo,Imo,Nkwere  ,471115,Nkwerre  
Nnanano,Imo,Nkwere  ,471115,Nkwerre  
Nnanato,Imo,Nkwere  ,471115,Nkwerre  
Obinocha,Imo,Nkwere  ,471115,Nkwerre  
Obinuhu,Imo,Nkwere  ,471115,Nkwerre  
Onusa,Imo,Nkwere  ,471115,Nkwerre  
Ugwunagbor,Imo,Nkwere  ,471115,Nkwerre  
Umugara,Imo,Nkwere  ,471115,Nkwerre  
Unmuko,Imo,Nkwere  ,471115,Nkwerre  
Ekifiafor,Imo,Nwangele  ,471123,Umuozu  
Umuchoke,Imo,Nwangele  ,471123,Umuozu  
Umudurhie/Dureze,Imo,Nwangele  ,471123,Umuozu  
Umuokwuome,Imo,Nwangele  ,471123,Umuozu  
Amukwe,Imo,Nwangele  ,471121,Abba  
Mbara,Imo,Nwangele  ,471121,Abba  
Okwaradimnasu,Imo,Nwangele  ,471121,Abba  
Okwaradum,Imo,Nwangele  ,471121,Abba  
Okwesi,Imo,Nwangele  ,471121,Abba  
Orinaosa,Imo,Nwangele  ,471121,Abba  
Oteke,Imo,Nwangele  ,471121,Abba  
Umudim,Imo,Nwangele  ,471121,Abba  
Umuduruagwu,Imo,Nwangele  ,471121,Abba  
Umuezealaibe,Imo,Nwangele  ,471121,Abba  
Umuonuma,Imo,Nwangele  ,471121,Abba  
Umuotukwu,Imo,Nwangele  ,471121,Abba  
Umuozuliri,Imo,Nwangele  ,471121,Abba  
Ndichule,Imo,Obowu   ,463107,Ikwuato  
Ndiuhu,Imo,Obowu   ,463107,Ikwuato  
Odenkume,Imo,Obowu   ,463107,Ikwuato  
Okwuohia,Imo,Obowu   ,463107,Ikwuato  
Umuagwu,Imo,Obowu   ,463107,Ikwuato  
Umuezealu,Imo,Obowu   ,463107,Ikwuato  
Umukwu,Imo,Obowu   ,463107,Ikwuato  
Umuosochie,Imo,Obowu   ,463107,Ikwuato  
Mgboma,Imo,Obowu   ,463105,Alike-Obowu  
Ngali  ,Imo,Obowu   ,463105,Alike-Obowu  
Owugha-Ohumala,Imo,Obowu   ,463105,Alike-Obowu  
Umuchienwanyi,Imo,Obowu   ,463105,Alike-Obowu  
Umuekwuele,Imo,Obowu   ,463105,Alike-Obowu  
Umukpa-Ohumala,Imo,Obowu   ,463105,Alike-Obowu  
Umukpa-Uhu,Imo,Obowu   ,463105,Alike-Obowu  
Amaeke,Imo,Obowu   ,463103,Avutu  
Umuada,Imo,Obowu   ,463103,Avutu  
Umuagagba,Imo,Obowu   ,463103,Avutu  
Umueshi,Imo,Obowu   ,463103,Avutu  
Umuifem  Umuodinma  ,Imo,Obowu   ,463103,Avutu  
Abodinoso,Imo,Oguta   ,464109,Nkwesi  
Umudei,Imo,Oguta   ,464109,Nkwesi  
Umudike,Imo,Oguta   ,464109,Nkwesi  
Umukeli,Imo,Oguta   ,464109,Nkwesi  
Umudarakerekp-u,Imo,Oguta   ,464108,Ezi-Orsu  
Umundankike,Imo,Oguta   ,464108,Ezi-Orsu  
Ndeabiara,Imo,Oguta   ,464107,Mgbelle  
Uba,Imo,Oguta   ,464107,Mgbelle  
Umuobinihu,Imo,Oguta   ,464107,Mgbelle  
Umuudiaba,Imo,Oguta   ,464107,Mgbelle  
Abiaziam,Imo,Oguta   ,464106,Awa  
Akabor,Imo,Oguta   ,464106,Awa  
Awa,Imo,Oguta   ,464106,Awa  
Ejemekwuru,Imo,Oguta   ,464106,Awa  
Amagu,Imo,Oguta   ,464105,Egguoma  
Aro-Egbu/Ndibwe,Imo,Oguta   ,464105,Egguoma  
Ebenamo,Imo,Oguta   ,464105,Egguoma  
Odode,Imo,Oguta   ,464105,Egguoma  
Okwubarameh,Imo,Oguta   ,464105,Egguoma  
Omadi,Imo,Oguta   ,464105,Egguoma  
Ubahudara,Imo,Oguta   ,464105,Egguoma  
Ugwurugwuala,Imo,Oguta   ,464105,Egguoma  
Umezeala/Umuojinta,Imo,Oguta   ,464105,Egguoma  
Umuadije,Imo,Oguta   ,464105,Egguoma  
Umuamar/Umuereke,Imo,Oguta   ,464105,Egguoma  
Umubwachuwkwu,Imo,Oguta   ,464105,Egguoma  
Umuezeike,Imo,Oguta   ,464105,Egguoma  
Umuezeikegbu,Imo,Oguta   ,464105,Egguoma  
Umuiheala,Imo,Oguta   ,464105,Egguoma  
Umuohuwo,Imo,Oguta   ,464105,Egguoma  
Umuomirima,Imo,Oguta   ,464105,Egguoma  
Amamputu,Imo,Oguta   ,464103,Egwe  
Eziama,Imo,Oguta   ,464103,Egwe  
Ihite-Egwu,Imo,Oguta   ,464103,Egwe  
Imo,Imo,Oguta   ,464103,Egwe  
Umuchi,Imo,Oguta   ,464103,Egwe  
Igbugankwo,Imo,Oguta   ,464102,Orsu-Obodo  
Kalabari-Beach,Imo,Oguta   ,464102,Orsu-Obodo  
Mgbabachi,Imo,Oguta   ,464102,Orsu-Obodo  
Orsu-Obodo,Imo,Oguta   ,464102,Orsu-Obodo  
Umu-akpu,Imo,Oguta   ,464102,Orsu-Obodo  
Umu-dei,Imo,Oguta   ,464102,Orsu-Obodo  
Umu-eze-aja,Imo,Oguta   ,464102,Orsu-Obodo  
Umu-Ifumaezeami-Okiri,Imo,Oguta   ,464102,Orsu-Obodo  
Umu-Isoma,Imo,Oguta   ,464102,Orsu-Obodo  
Umu-Mbeogeri,Imo,Oguta   ,464102,Orsu-Obodo  
Umu-Nnama,Imo,Oguta   ,464102,Orsu-Obodo  
Umu-Nwokediukor,Imo,Oguta   ,464102,Orsu-Obodo  
Umu-Obike,Imo,Oguta   ,464102,Orsu-Obodo  
Umu-Ogbugo,Imo,Oguta   ,464102,Orsu-Obodo  
Umu-Omeji,Imo,Oguta   ,464102,Orsu-Obodo  
Umu-Onwuka,Imo,Oguta   ,464102,Orsu-Obodo  
Umu-Opo,Imo,Oguta   ,464102,Orsu-Obodo  
Umu-Udara,Imo,Oguta   ,464102,Orsu-Obodo  
Abatu,Imo,Oguta   ,464101,Oguta   
Amaozua,Imo,Oguta   ,464101,Oguta   
Enigbo,Imo,Oguta   ,464101,Oguta   
Government Quarters Ishibe,Imo,Oguta   ,464101,Oguta   
Kalashi-Beach,Imo,Oguta   ,464101,Oguta   
Obegwu,Imo,Oguta   ,464101,Oguta   
Obutu,Imo,Oguta   ,464101,Oguta   
Ogwunna,Imo,Oguta   ,464101,Oguta   
Okeichi,Imo,Oguta   ,464101,Oguta   
Osemotor,Imo,Oguta   ,464101,Oguta   
Umuajoma,Imo,Oguta   ,464101,Oguta   
Umuamanu,Imo,Oguta   ,464101,Oguta   
Umuduru-Owoku,Imo,Oguta   ,464101,Oguta   
Umukwocha,Imo,Oguta   ,464101,Oguta   
Umuninnaruku-Umulo,Imo,Oguta   ,464101,Oguta   
Umunkwokomoshi,Imo,Oguta   ,464101,Oguta   
Umuogala,Imo,Oguta   ,464101,Oguta   
Umuopu,Imo,Oguta   ,464101,Oguta   
Umuorima,Imo,Oguta   ,464101,Oguta   
Umuorina,Imo,Oguta   ,464101,Oguta   
Umuosu,Imo,Oguta   ,464101,Oguta   
Umuosuma,Imo,Oguta   ,464101,Oguta   
Umusohe,Imo,Oguta   ,464101,Oguta   
Agbala,Imo,Okigwe  ,470105,Ihube  
Akpugo,Imo,Okigwe  ,470105,Ihube  
Amagu,Imo,Okigwe  ,470105,Ihube  
Amalator,Imo,Okigwe  ,470105,Ihube  
Amano,Imo,Okigwe  ,470105,Ihube  
Ogube,Imo,Okigwe  ,470105,Ihube  
Amuro ,Imo,Okigwe  ,470103,Amuro  
Aro-Amuro,Imo,Okigwe  ,470103,Amuro  
Aro-Okigwe,Imo,Okigwe  ,470101,Okigwe (Rural)  
Aro-Ubaha,Imo,Okigwe  ,470101,Okigwe (Rural)  
Ope,Imo,Okigwe  ,470101,Okigwe (Rural)  
Ubahaa,Imo,Okigwe  ,470101,Okigwe (Rural)  
Umuka,Imo,Okigwe  ,470101,Okigwe (Rural)  
Umuokpara,Imo,Okigwe  ,470101,Okigwe (Rural)  
Ejemewune Umubu,Imo,Orlu  ,473119,Umuowa  
Odielieku Ujah,Imo,Orlu  ,473119,Umuowa  
Okwaraebike,Imo,Orlu  ,473119,Umuowa  
Okwu,Imo,Orlu  ,473119,Umuowa  
Okwuekititi-Umubu,Imo,Orlu  ,473119,Umuowa  
Uhu-Umuba,Imo,Orlu  ,473119,Umuowa  
Umudaduru,Imo,Orlu  ,473119,Umuowa  
Umudilee,Imo,Orlu  ,473119,Umuowa  
Umudim,Imo,Orlu  ,473119,Umuowa  
Umuezikegwu-Ujah,Imo,Orlu  ,473119,Umuowa  
Umuezukwe,Imo,Orlu  ,473119,Umuowa  
Umuogu,Imo,Orlu  ,473119,Umuowa  
Amihe,Imo,Orlu  ,473117,Obibi-Ochasi  
Uhuala,Imo,Orlu  ,473117,Obibi-Ochasi  
Umudim,Imo,Orlu  ,473117,Obibi-Ochasi  
Umuede,Imo,Orlu  ,473117,Obibi-Ochasi  
Umuezike,Imo,Orlu  ,473117,Obibi-Ochasi  
Umuiheanji,Imo,Orlu  ,473117,Obibi-Ochasi  
Umuomedi,Imo,Orlu  ,473117,Obibi-Ochasi  
Chioke,Imo,Orlu  ,473111,Umutanze  
Obinator-Obor,Imo,Orlu  ,473111,Umutanze  
Okwuafor,Imo,Orlu  ,473111,Umutanze  
Uba-Na-Okpara,Imo,Orlu  ,473111,Umutanze  
Ubaha-Owerri,Imo,Orlu  ,473111,Umutanze  
Umualum,Imo,Orlu  ,473111,Umutanze  
Umudara,Imo,Orlu  ,473111,Umutanze  
Umunkwu-Umudim,Imo,Orlu  ,473111,Umutanze  
Umuegbe,Imo,Orlu  ,473109,Umuzike  
Umuezeoma,Imo,Orlu  ,473109,Umuzike  
Umuezurike,Imo,Orlu  ,473109,Umuzike  
Umulolo,Imo,Orlu  ,473109,Umuzike  
Umunkwu,Imo,Orlu  ,473109,Umuzike  
Umuogini,Imo,Orlu  ,473109,Umuzike  
Umuokew,Imo,Orlu  ,473109,Umuzike  
Umuokwaraji,Imo,Orlu  ,473109,Umuzike  
Amoji,Imo,Orlu  ,473107,Umuna  
Ebenato,Imo,Orlu  ,473107,Umuna  
Umuokware-ikuku,Imo,Orlu  ,473107,Umuna  
Umusasa,Imo,Orlu  ,473107,Umuna  
Ebenese,Imo,Orlu  ,473104,Ihioma/Ebenese  
Ikwubali,Imo,Orlu  ,473104,Ihioma/Ebenese  
Umuezenachi,Imo,Orlu  ,473104,Ihioma/Ebenese  
Ajafulem,Imo,Orlu  ,473103,Amaifeke  
Amadim,Imo,Orlu  ,473103,Amaifeke  
Ihunachi,Imo,Orlu  ,473103,Amaifeke  
Okoroemenje,Imo,Orlu  ,473103,Amaifeke  
Oleme,Imo,Orlu  ,473103,Amaifeke  
Uja,Imo,Orlu  ,473103,Amaifeke  
Umucheke,Imo,Orlu  ,473103,Amaifeke  
Umudaza,Imo,Orlu  ,473103,Amaifeke  
Umuegbe/Umuezihe,Imo,Orlu  ,473103,Amaifeke  
Umueze,Imo,Orlu  ,473103,Amaifeke  
Umuobom,Imo,Orlu  ,473103,Amaifeke  
Umuofeke,Imo,Orlu  ,473103,Amaifeke  
Unudu,Imo,Orlu  ,473103,Amaifeke  
Unulolo,Imo,Orlu  ,473103,Amaifeke  
Unuola,Imo,Orlu  ,473103,Amaifeke  
E/Uama,Imo,Orlu  ,473102,Owerre-Ebeiri  
Ezeakaeke,Imo,Orlu  ,473102,Owerre-Ebeiri  
Ndimbara,Imo,Orlu  ,473102,Owerre-Ebeiri  
Ndiokwu,Imo,Orlu  ,473102,Owerre-Ebeiri  
Okworji,Imo,Orlu  ,473102,Owerre-Ebeiri  
Onyioha,Imo,Orlu  ,473102,Owerre-Ebeiri  
Umuduru,Imo,Orlu  ,473102,Owerre-Ebeiri  
Umueze,Imo,Orlu  ,473102,Owerre-Ebeiri  
Umuokwara,Imo,Orlu  ,473102,Owerre-Ebeiri  
Umuokwu,Imo,Orlu  ,473102,Owerre-Ebeiri  
Umuorekpu,Imo,Orlu  ,473102,Owerre-Ebeiri  
Aboh ,Imo,Orlu  ,473101,Orlu (Rural)  
Aluama,Imo,Orlu  ,473101,Orlu (Rural)  
Ndiowerre,Imo,Orlu  ,473101,Orlu (Rural)  
Umuafor,Imo,Orlu  ,473101,Orlu (Rural)  
Umudiatu,Imo,Orlu  ,473101,Orlu (Rural)  
Umudihe,Imo,Orlu  ,473101,Orlu (Rural)  
Umuelelke,Imo,Orlu  ,473101,Orlu (Rural)  
Umuire,Imo,Orlu  ,473101,Orlu (Rural)  
Umundule,Imo,Orlu  ,473101,Orlu (Rural)  
Umuokwara,Imo,Orlu  ,473101,Orlu (Rural)  
Ikwe I,Imo,Ehime Mbano   ,472111,Nzerem/Ikpem  
Ikwe II,Imo,Ehime Mbano   ,472111,Nzerem/Ikpem  
Mpam-Ikpem,Imo,Ehime Mbano   ,472111,Nzerem/Ikpem  
Njoke-Nzerem,Imo,Ehime Mbano   ,472111,Nzerem/Ikpem  
Nnegbe-Ikpem,Imo,Ehime Mbano   ,472111,Nzerem/Ikpem  
Nocha-Nzerem,Imo,Ehime Mbano   ,472111,Nzerem/Ikpem  
Umuagum-Nzerem,Imo,Ehime Mbano   ,472111,Nzerem/Ikpem  
Umueleala I,Imo,Ehime Mbano   ,472111,Nzerem/Ikpem  
Umueleala II,Imo,Ehime Mbano   ,472111,Nzerem/Ikpem  
Umueleke-Ikpem,Imo,Ehime Mbano   ,472111,Nzerem/Ikpem  
Umuobodo,Imo,Ehime Mbano   ,472111,Nzerem/Ikpem  
Umuoha-Nzerem,Imo,Ehime Mbano   ,472111,Nzerem/Ikpem  
Umuolimokoro-Nzerem,Imo,Ehime Mbano   ,472111,Nzerem/Ikpem  
Umuolo-Ikpem,Imo,Ehime Mbano   ,472111,Nzerem/Ikpem  
Umuosu-Nzerem,Imo,Ehime Mbano   ,472111,Nzerem/Ikpem  
Ngboroko,Imo,Ehime Mbano   ,472110,Umukabai  
Odoli,Imo,Ehime Mbano   ,472110,Umukabai  
Umaizi,Imo,Ehime Mbano   ,472110,Umukabai  
Umualuwoke,Imo,Ehime Mbano   ,472110,Umukabai  
Umuchoko,Imo,Ehime Mbano   ,472110,Umukabai  
Umuduru,Imo,Ehime Mbano   ,472110,Umukabai  
Umueze,Imo,Ehime Mbano   ,472110,Umukabai  
Umuezeala,Imo,Ehime Mbano   ,472110,Umukabai  
Umunkwa,Imo,Ehime Mbano   ,472110,Umukabai  
Umunwanekwu,Imo,Ehime Mbano   ,472110,Umukabai  
Umuodu,Imo,Ehime Mbano   ,472110,Umukabai  
Umuowere,Imo,Ehime Mbano   ,472110,Umukabai  
Ogbor,Imo,Ahiazu Mbaise ,463122,Ihitte Afor  
Umuchieze,Imo,Ahiazu Mbaise ,463122,Ihitte Afor  
Umueze,Imo,Ahiazu Mbaise ,463122,Ihitte Afor  
Umunumo,Imo,Ahiazu Mbaise ,463122,Ihitte Afor  
Oparanadim-Nweke,Imo,Ahiazu Mbaise ,463121,Opara-Nadim  
Operanadim-Nweafor,Imo,Ahiazu Mbaise ,463121,Opara-Nadim  
Operandadim-Nwokwo,Imo,Ahiazu Mbaise ,463121,Opara-Nadim  
Akputu,Imo,Aboh Mbaise  ,462109,Avuru  
Akuwa,Imo,Aboh Mbaise  ,462109,Avuru  
Amadim,Imo,Aboh Mbaise  ,462109,Avuru  
Amaim,Imo,Aboh Mbaise  ,462109,Avuru  
Amaishi,Imo,Aboh Mbaise  ,462109,Avuru  
Amano,Imo,Aboh Mbaise  ,462109,Avuru  
Egbelu,Imo,Aboh Mbaise  ,462109,Avuru  
Egwutu,Imo,Aboh Mbaise  ,462109,Avuru  
Eziala,Imo,Aboh Mbaise  ,462109,Avuru  
Ndi Orji,Imo,Aboh Mbaise  ,462109,Avuru  
Ndigbo,Imo,Aboh Mbaise  ,462109,Avuru  
Ndiukwu,Imo,Aboh Mbaise  ,462109,Avuru  
Ode-Na-Ocham,Imo,Aboh Mbaise  ,462109,Avuru  
Okwuta,Imo,Aboh Mbaise  ,462109,Avuru  
Ozuzu,Imo,Aboh Mbaise  ,462109,Avuru  
Ugwuala,Imo,Aboh Mbaise  ,462109,Avuru  
Umoshi,Imo,Aboh Mbaise  ,462109,Avuru  
Umuaghara,Imo,Aboh Mbaise  ,462109,Avuru  
Umuananmu,Imo,Aboh Mbaise  ,462109,Avuru  
Umuaru,Imo,Aboh Mbaise  ,462109,Avuru  
Umudinka ,Imo,Aboh Mbaise  ,462109,Avuru  
Umudiriha,Imo,Aboh Mbaise  ,462109,Avuru  
Umuebii,Imo,Aboh Mbaise  ,462109,Avuru  
Umueke Ugo,Imo,Aboh Mbaise  ,462109,Avuru  
Umueze,Imo,Aboh Mbaise  ,462109,Avuru  
Umuguojii,Imo,Aboh Mbaise  ,462109,Avuru  
Umuhtte,Imo,Aboh Mbaise  ,462109,Avuru  
Umuime,Imo,Aboh Mbaise  ,462109,Avuru  
Umuocham,Imo,Aboh Mbaise  ,462109,Avuru  
Umuogakwu,Imo,Aboh Mbaise  ,462109,Avuru  
Umuogale,Imo,Aboh Mbaise  ,462109,Avuru  
Umuoraobara,Imo,Aboh Mbaise  ,462109,Avuru  
Umuorobala,Imo,Aboh Mbaise  ,462109,Avuru  
Nriukwu,Imo,Aboh Mbaise  ,462108,Amuzu  
Umuabazu,Imo,Aboh Mbaise  ,462108,Amuzu  
Umubee,Imo,Aboh Mbaise  ,462108,Amuzu  
Umuehu,Imo,Aboh Mbaise  ,462108,Amuzu  
Umueni,Imo,Aboh Mbaise  ,462108,Amuzu  
Umugberim,Imo,Aboh Mbaise  ,462108,Amuzu  
Umulolo,Imo,Aboh Mbaise  ,462108,Amuzu  
Umuodaa,Imo,Aboh Mbaise  ,462108,Amuzu  
Umuogu,Imo,Aboh Mbaise  ,462108,Amuzu  
Ajura,Jigawa,Taura   ,733103,Taura  
Bardo,Jigawa,Taura   ,733103,Taura  
Buluranawa,Jigawa,Taura   ,733103,Taura  
Buturunawa,Jigawa,Taura   ,733103,Taura  
Chakwai-Kwaiwa,Jigawa,Taura   ,733103,Taura  
Chukutu,Jigawa,Taura   ,733103,Taura  
Gilma,Jigawa,Taura   ,733103,Taura  
Gujungu,Jigawa,Taura   ,733103,Taura  
Kawllam,Jigawa,Taura   ,733103,Taura  
Kiri,Jigawa,Taura   ,733103,Taura  
Kwajali,Jigawa,Taura   ,733103,Taura  
Maje,Jigawa,Taura   ,733103,Taura  
Majiya,Jigawa,Taura   ,733103,Taura  
Sabon Gari,Jigawa,Taura   ,733103,Taura  
Taura,Jigawa,Taura   ,733103,Taura  
Yangayami,Jigawa,Taura   ,733103,Taura  
Yanyanga,Jigawa,Taura   ,733103,Taura  
Ezi Amata,Imo,Aboh Mbaise  ,462107,Lorji  
Eziala,Imo,Aboh Mbaise  ,462107,Lorji  
Umu Gana,Imo,Aboh Mbaise  ,462107,Lorji  
Umu Osike,Imo,Aboh Mbaise  ,462107,Lorji  
Amanga,Jigawa,Sule Tankar-Kar   ,732106,Sule Tankar-Kar  
Asayaya,Jigawa,Sule Tankar-Kar   ,732106,Sule Tankar-Kar  
Baldi,Jigawa,Sule Tankar-Kar   ,732106,Sule Tankar-Kar  
Dadda,Jigawa,Sule Tankar-Kar   ,732106,Sule Tankar-Kar  
Dangwanki,Jigawa,Sule Tankar-Kar   ,732106,Sule Tankar-Kar  
Danmakama,Jigawa,Sule Tankar-Kar   ,732106,Sule Tankar-Kar  
Danyardi,Jigawa,Sule Tankar-Kar   ,732106,Sule Tankar-Kar  
Galadi,Jigawa,Sule Tankar-Kar   ,732106,Sule Tankar-Kar  
Jeke,Jigawa,Sule Tankar-Kar   ,732106,Sule Tankar-Kar  
Keke,Jigawa,Sule Tankar-Kar   ,732106,Sule Tankar-Kar  
Maizuwo,Jigawa,Sule Tankar-Kar   ,732106,Sule Tankar-Kar  
Matoya,Jigawa,Sule Tankar-Kar   ,732106,Sule Tankar-Kar  
Sule Tankarkar,Jigawa,Sule Tankar-Kar   ,732106,Sule Tankar-Kar  
Togai,Jigawa,Sule Tankar-Kar   ,732106,Sule Tankar-Kar  
Tsamiya,Jigawa,Sule Tankar-Kar   ,732106,Sule Tankar-Kar  
Uban Dawaki,Jigawa,Sule Tankar-Kar   ,732106,Sule Tankar-Kar  
Yan Damo,Jigawa,Sule Tankar-Kar   ,732106,Sule Tankar-Kar  
Abiri-na-Owashie,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Akwete,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Amaetiti,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Amangwu,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Amoji,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Awagu,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Ejealolo,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Eziala,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Ibeku,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Lagwa,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Ndokwu,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Okwuaku,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Osi-Na-Ashia,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Osina,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Ugwuanya,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Uloakwo,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Umu Nwefor,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Umuchoko,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Umuckoko,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Umueleme,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Umueme,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Umuezaku,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Umueze,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Umugba,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Umulogho,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Umuloke,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Umumeka,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Umunwaozani,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Umuokele,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Umuokpo,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Umuokwe,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Umuolu,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Umuonu,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
Umuoshie,Imo,Aboh Mbaise  ,462106,Enyio-Gugu  
A/Fulani,Jigawa,Roni   ,705104,Amaryawa  
Aborawa,Jigawa,Roni   ,705104,Amaryawa  
Amaryawa Haba,Jigawa,Roni   ,705104,Amaryawa  
Baniyaka,Jigawa,Roni   ,705104,Amaryawa  
Bashe Habe,Jigawa,Roni   ,705104,Amaryawa  
Billar F,Jigawa,Roni   ,705104,Amaryawa  
Billas,Jigawa,Roni   ,705104,Amaryawa  
Bula,Jigawa,Roni   ,705104,Amaryawa  
Buntusu,Jigawa,Roni   ,705104,Amaryawa  
Ciki Kaini,Jigawa,Roni   ,705104,Amaryawa  
Dabawa,Jigawa,Roni   ,705104,Amaryawa  
